model,mae,rmse,smape,train_seconds,model_uri,run_id
random_forest,30.14228631520126,214.00876789354166,1.4561360971529058,971.2066110769907,runs:/554f318d1b5f4be5a69c4b6abeb94a54/model,554f318d1b5f4be5a69c4b6abeb94a54
xgboost,180.42256666741693,885.7383883787546,4.681277839111492,39.22365673383077,runs:/1c45b4c8c7a540c9b884c8dc99f406c1/model,1c45b4c8c7a540c9b884c8dc99f406c1
lightgbm,219.20003254321477,1057.6331952452936,6.687176523788019,26.600221554438274,runs:/9c06e9676e144d5184c9f904d4051f0f/model,9c06e9676e144d5184c9f904d4051f0f
